phase_id,trip_id,phase,leg_index,start_s,end_s,s0,s1,is_boundary,direct,atom_id,guard_margin_db,guard_relay_trip_id
PH-0061,Q3-T-009,爬升,1,1638.89770439876,1638.89770439876,0.5778519938123206,0.5778519938123206,True,True,COM-00591,0.2,
PH-0061,Q3-T-009,爬升,1,1638.89770439876,1659.3517054464426,0.5778519938123206,1.0,False,True,COM-00592,0.2,
PH-0061,Q3-T-009,爬升,1,1659.3517054464426,1659.3517054464426,1.0,1.0,True,True,COM-00593,0.2,
PH-0062,Q3-T-009,巡航,1,1659.3517054464426,1793.322337851978,0.0,0.5264108467150513,False,True,COM-00594,0.2,
PH-0062,Q3-T-009,巡航,1,1793.322337851978,1793.322337851978,0.5264108467150513,0.5264108467150513,True,True,COM-00595,0.2,
PH-0062,Q3-T-009,巡航,1,1793.322337851978,1846.1980513893027,0.5264108467150513,0.7341754040218321,False,True,COM-00596,0.2,
PH-0062,Q3-T-009,巡航,1,1846.1980513893027,1846.1980513893027,0.7341754040218321,0.7341754040218321,True,True,COM-00597,0.2,
PH-0062,Q3-T-009,巡航,1,1846.1980513893027,1858.5261859437715,0.7341754040218321,0.7826163468815358,False,True,COM-00598,0.2,
PH-0062,Q3-T-009,巡航,1,1858.5261859437715,1858.5261859437715,0.7826163468815358,0.7826163468815358,True,True,COM-00599,0.2,
PH-0062,Q3-T-009,巡航,1,1858.5261859437715,1913.8499424063175,0.7826163468815358,1.0,False,True,COM-00600,0.2,
PH-0062,Q3-T-009,巡航,1,1913.8499424063175,1913.8499424063175,1.0,1.0,True,True,COM-00601,0.2,
PH-0063,Q3-T-009,下降,1,1913.8499424063175,1939.313867254704,0.0,0.714824110688457,False,True,COM-00602,0.2,
PH-0063,Q3-T-009,下降,1,1939.313867254704,1939.313867254704,0.714824110688457,0.714824110688457,True,True,COM-00603,0.2,
PH-0063,Q3-T-009,下降,1,1939.313867254704,1945.2838003206427,0.714824110688457,0.8824122621669849,False,True,COM-00604,0.2,
PH-0063,Q3-T-009,下降,1,1945.2838003206427,1945.2838003206427,0.8824122621669849,0.8824122621669849,True,True,COM-00605,0.2,
PH-0063,Q3-T-009,下降,1,1945.2838003206427,1947.9815791800725,0.8824122621669849,0.9581443963728433,False,True,COM-00606,0.2,
PH-0063,Q3-T-009,下降,1,1947.9815791800725,1947.9815791800725,0.9581443963728433,0.9581443963728433,True,True,COM-00607,0.2,
PH-0063,Q3-T-009,下降,1,1947.9815791800725,1949.4725864492862,0.9581443963728433,1.0,False,True,COM-00608,0.2,
PH-0063,Q3-T-009,下降,1,1949.4725864492862,1949.4725864492862,1.0,1.0,True,True,COM-00609,0.2,
PH-0064,Q3-T-009,投送交接,1,1949.4725864492862,2159.472586449286,0.0,1.0,False,True,COM-00610,0.2,
PH-0064,Q3-T-009,投送交接,1,2159.472586449286,2159.472586449286,1.0,1.0,True,True,COM-00611,0.2,
PH-0065,Q3-T-009,爬升,2,2159.472586449286,2160.7150925069645,0.0,0.04185560362715678,False,True,COM-00612,0.2,
PH-0065,Q3-T-009,爬升,2,2160.7150925069645,2160.7150925069645,0.04185560362715678,0.04185560362715678,True,True,COM-00613,0.2,
PH-0065,Q3-T-009,爬升,2,2160.7150925069645,2162.963241556489,0.04185560362715678,0.11758773783301517,False,True,COM-00614,0.2,
PH-0065,Q3-T-009,爬升,2,2162.963241556489,2162.963241556489,0.11758773783301517,0.11758773783301517,True,True,COM-00615,0.2,
PH-0065,Q3-T-009,爬升,2,2162.963241556489,2167.9381857781045,0.11758773783301517,0.28517588931154303,False,True,COM-00616,0.2,
PH-0065,Q3-T-009,爬升,2,2167.9381857781045,2167.9381857781045,0.28517588931154303,0.28517588931154303,True,True,COM-00617,0.2,
PH-0065,Q3-T-009,爬升,2,2167.9381857781045,2189.1581231517603,0.28517588931154303,1.0,False,True,COM-00618,0.2,
PH-0065,Q3-T-009,爬升,2,2189.1581231517603,2189.1581231517603,1.0,1.0,True,True,COM-00619,0.2,
PH-0066,Q3-T-009,巡航,2,2189.1581231517603,2244.4818796143063,0.0,0.21738365311846422,False,True,COM-00620,0.2,
PH-0066,Q3-T-009,巡航,2,2244.4818796143063,2244.4818796143063,0.21738365311846422,0.21738365311846422,True,True,COM-00621,0.2,
PH-0066,Q3-T-009,巡航,2,2244.4818796143063,2256.810014168775,0.21738365311846422,0.2658245959781675,False,True,COM-00622,0.2,
PH-0066,Q3-T-009,巡航,2,2256.810014168775,2256.810014168775,0.2658245959781675,0.2658245959781675,True,True,COM-00623,0.2,
PH-0066,Q3-T-009,巡航,2,2256.810014168775,2309.6857277061,0.2658245959781675,0.47358915328494855,False,True,COM-00624,0.2,
PH-0066,Q3-T-009,巡航,2,2309.6857277061,2309.6857277061,0.47358915328494855,0.47358915328494855,True,True,COM-00625,0.2,
PH-0066,Q3-T-009,巡航,2,2309.6857277061,2436.8699186909644,0.47358915328494855,0.9733340336587831,False,True,COM-00626,0.2,
PH-0066,Q3-T-009,巡航,2,2436.8699186909644,2436.8699186909644,0.9733340336587831,0.9733340336587831,True,True,COM-00627,0.2,
PH-0066,Q3-T-009,巡航,2,2436.8699186909644,2443.6563601116354,0.9733340336587831,1.0,False,True,COM-00628,0.2,
PH-0066,Q3-T-009,巡航,2,2443.6563601116354,2443.6563601116354,1.0,1.0,True,True,COM-00629,0.2,
PH-0067,Q3-T-009,下降,2,2443.6563601116354,2468.2011613688546,0.0,0.4221480061876795,False,True,COM-00630,0.2,
PH-0067,Q3-T-009,下降,2,2468.2011613688546,2468.2011613688546,0.4221480061876795,0.4221480061876795,True,True,COM-00631,0.2,
PH-0067,Q3-T-009,下降,2,2468.2011613688546,2479.3757439223077,0.4221480061876795,0.6143405481229054,False,True,COM-00632,0.2,
