phase_id,anchor,s,local_line_distance_m,geodesic_plus_height_m,difference_m,absolute_relative_difference,loss_difference_db
IV-PH-0010,Q3-R-004,0.0,7404.140040334608,7402.578949911256,1.561090423351743,0.0002108846705877359,0.0018315278612967534
IV-PH-0010,G01,0.5,2437.7746068031006,2437.7013941746513,0.07321262844925513,3.0033468670203234e-05,0.0002608634770201873
IV-PH-0010,Q3-R-001,0.5,4330.915028807815,4330.53840948596,0.3766193218552871,8.69682441865219e-05,0.0007553637251671097
IV-PH-0010,Q3-R-002,0.5,2958.1325209714496,2958.0450671364547,0.08745383499490345,2.9564740566837753e-05,0.0002567922777615221
IV-PH-0010,Q3-R-003,0.5,4816.318956178434,4816.212226835018,0.10672934341619111,2.216043197214515e-05,0.00019248093371922333
IV-PH-0010,Q3-R-004,0.5,5916.354546028604,5915.553837183884,0.8007088447202477,0.0001353565307253509,0.0011756123260638555
IV-PH-0010,G01,1.0,251.48182373046876,251.48182373046876,0.0,0.0,0.0
IV-PH-0010,Q3-R-001,1.0,2633.30866946625,2633.221781846955,0.08688761929533939,3.299669625032343e-05,0.00028660093363429246
IV-PH-0010,Q3-R-002,1.0,4701.86639902068,4701.8838313084825,-0.01743228780287609,3.7075113780565005e-06,-3.220309435801453e-05
IV-PH-0010,Q3-R-003,1.0,5814.654096921769,5814.665463083316,-0.011366161546902731,1.9547404092402673e-06,-1.697867605987496e-05
IV-PH-0010,Q3-R-004,1.0,5190.781862451577,5190.539878585476,0.2419838661007816,4.662017280690404e-05,0.0004049282370692011
IV-PH-0011,G01,0.0,251.48182373046876,251.48182373046876,0.0,0.0,0.0
IV-PH-0011,Q3-R-001,0.0,2633.30866946625,2633.221781846955,0.08688761929533939,3.299669625032343e-05,0.00028660093363429246
IV-PH-0011,Q3-R-002,0.0,4701.86639902068,4701.8838313084825,-0.01743228780287609,3.7075113780565005e-06,-3.220309435801453e-05
IV-PH-0011,Q3-R-003,0.0,5814.654096921769,5814.665463083316,-0.011366161546902731,1.9547404092402673e-06,-1.697867605987496e-05
IV-PH-0011,Q3-R-004,0.0,5190.781862451577,5190.539878585476,0.2419838661007816,4.662017280690404e-05,0.0004049282370692011
IV-PH-0011,G01,0.5,115.74091186523441,115.74091186523441,0.0,0.0,0.0
IV-PH-0011,Q3-R-001,0.5,2634.380519573194,2634.2936673070203,0.08685226617353692,3.296984966081024e-05,0.0002863677548126411
IV-PH-0011,Q3-R-002,0.5,4709.250337198084,4709.267742152776,-0.017404954692210595,3.6958940636180865e-06,-3.210218727333723e-05
IV-PH-0011,Q3-R-003,0.5,5815.590245200525,5815.601609532439,-0.011364331914592185,1.954111144058551e-06,-1.697321032115134e-05
IV-PH-0011,Q3-R-004,0.5,5198.464512212382,5198.22288598338,0.24162622900166753,4.648246800905644e-05,0.00040373220406990785
IV-PH-0011,G01,1.0,20.0,20.0,0.0,0.0,0.0
IV-PH-0011,Q3-R-001,1.0,2642.4341213047032,2642.347533755259,0.08658754944417524,3.2769175264814046e-05,0.0002846247764467422
IV-PH-0011,Q3-R-002,1.0,4720.527622296987,4720.5449856715995,-0.01736337461261428,3.678256359237717e-06,-3.194898755548509e-05
IV-PH-0011,Q3-R-003,1.0,5819.693181225441,5819.704537545414,-0.011356319972946949,1.951356791342662e-06,-1.694928627142333e-05
IV-PH-0011,Q3-R-004,1.0,5209.67383011785,5209.43272380445,0.24110631340045074,4.6282642695185965e-05,0.0004019966239475446
IV-PH-0012,G01,0.0,19.999999999999986,19.999999999999986,0.0,0.0,0.0
IV-PH-0012,Q3-R-001,0.0,2642.4341213047032,2642.347533755259,0.08658754944417524,3.2769175264814046e-05,0.0002846247764467422
IV-PH-0012,Q3-R-002,0.0,4720.527622296987,4720.5449856715995,-0.01736337461261428,3.678256359237717e-06,-3.194898755548509e-05
IV-PH-0012,Q3-R-003,0.0,5819.693181225441,5819.704537545414,-0.011356319972946949,1.951356791342662e-06,-1.694928627142333e-05
