check,pass,details
K2/comm_lineage_87,True,
K2/comm_lineage_88,True,
K2/comm_lineage_89,True,
K2/comm_lineage_90,True,
K2/comm_lineage_91,True,
K2/comm_lineage_92,True,
K2/comm_lineage_93,True,
K2/comm_lineage_94,True,
K2/comm_lineage_95,True,
K2/comm_lineage_96,True,
K2/comm_lineage_97,True,
K2/comm_lineage_98,True,
K2/comm_lineage_99,True,
K2/comm_lineage_100,True,
K2/comm_lineage_101,True,
K2/comm_lineage_102,True,
K2/comm_lineage_103,True,
K2/comm_lineage_104,True,
K2/comm_lineage_105,True,
K2/comm_lineage_106,True,
K2/comm_lineage_107,True,
K2/comm_lineage_108,True,
K2/comm_lineage_109,True,
K2/comm_lineage_110,True,
K2/comm_lineage_111,True,
K2/comm_lineage_112,True,
K2/comm_lineage_113,True,
K2/comm_lineage_114,True,
K2/comm_lineage_115,True,
K2/comm_lineage_116,True,
K2/comm_lineage_117,True,
K2/comm_lineage_118,True,
K2/comm_lineage_119,True,
K2/comm_lineage_120,True,
K2/comm_lineage_121,True,
K2/comm_lineage_122,True,
K2/comm_lineage_123,True,
K2/comm_lineage_124,True,
K2/comm_lineage_125,True,
K2/comm_lineage_126,True,
K2/comm_lineage_127,True,
K2/comm_lineage_128,True,
K2/comm_lineage_129,True,
K2/comm_lineage_130,True,
K2/comm_lineage_131,True,
K2/comm_lineage_132,True,
K2/comm_lineage_133,True,
K2/comm_lineage_134,True,
K2/comm_lineage_135,True,
K2/comm_lineage_136,True,
K2/comm_lineage_137,True,
K2/comm_lineage_138,True,
K2/comm_lineage_139,True,
K2/comm_lineage_140,True,
K2/comm_lineage_141,True,
K2/comm_lineage_142,True,
K2/comm_lineage_143,True,
K2/comm_lineage_144,True,
K2/comm_lineage_145,True,
K2/comm_lineage_146,True,
K2/comm_lineage_147,True,
K2/comm_lineage_148,True,
K2/comm_lineage_149,True,
K2/comm_lineage_150,True,
K2/comm_lineage_151,True,
K2/comm_lineage_152,True,
K2/comm_lineage_153,True,
K2/comm_lineage_154,True,
K2/comm_lineage_155,True,
K2/comm_lineage_156,True,
K2/comm_lineage_157,True,
K2/comm_lineage_158,True,
K2/comm_lineage_159,True,
K2/comm_lineage_160,True,
K2/comm_lineage_161,True,
K2/comm_lineage_162,True,
K2/comm_lineage_163,True,
K2/comm_lineage_164,True,
K2/comm_lineage_165,True,
K2/comm_lineage_166,True,
K2/comm_lineage_167,True,
K2/comm_lineage_168,True,
K2/comm_lineage_169,True,
K2/comm_lineage_170,True,
K2/comm_lineage_171,True,
K2/comm_lineage_172,True,
K2/comm_lineage_173,True,
K2/comm_lineage_174,True,
K2/comm_lineage_175,True,
K2/comm_lineage_176,True,
K2/comm_lineage_177,True,
K2/comm_lineage_178,True,
K2/comm_lineage_179,True,
K2/comm_lineage_180,True,
K2/comm_lineage_181,True,
K2/comm_lineage_182,True,
K2/comm_lineage_183,True,
K2/comm_lineage_184,True,
K2/comm_lineage_185,True,
K2/comm_lineage_186,True,
K2/comm_lineage_187,True,
K2/comm_lineage_188,True,
K2/comm_lineage_189,True,
K2/comm_lineage_190,True,
K2/comm_lineage_191,True,
K2/comm_lineage_192,True,
K2/comm_lineage_193,True,
K2/comm_lineage_194,True,
K2/comm_lineage_195,True,
K2/comm_lineage_196,True,
K2/comm_lineage_197,True,
K2/comm_lineage_198,True,
K2/comm_lineage_199,True,
K2/comm_lineage_200,True,
K2/comm_lineage_201,True,
K2/comm_lineage_202,True,
K2/comm_lineage_203,True,
K2/comm_lineage_204,True,
K2/comm_lineage_205,True,
K2/comm_lineage_206,True,
K2/comm_lineage_207,True,
K2/comm_lineage_208,True,
K2/comm_lineage_209,True,
K2/comm_lineage_210,True,
K2/comm_lineage_211,True,
K2/comm_lineage_212,True,
K2/comm_lineage_213,True,
K2/comm_lineage_214,True,
K2/comm_lineage_215,True,
K2/comm_lineage_216,True,
K2/comm_lineage_217,True,
K2/comm_lineage_218,True,
K2/comm_lineage_219,True,
K2/comm_lineage_220,True,
K2/comm_lineage_221,True,
K2/comm_lineage_222,True,
K2/comm_lineage_223,True,
K2/comm_lineage_224,True,
K2/comm_lineage_225,True,
K2/comm_lineage_226,True,
K2/comm_lineage_227,True,
K2/comm_lineage_228,True,
K2/comm_lineage_229,True,
K2/comm_lineage_230,True,
K2/comm_lineage_231,True,
K2/comm_lineage_232,True,
K2/comm_lineage_233,True,
K2/comm_lineage_234,True,
K2/comm_lineage_235,True,
K2/comm_lineage_236,True,
K2/comm_lineage_237,True,
K2/comm_lineage_238,True,
K2/comm_lineage_239,True,
K2/comm_lineage_240,True,
K2/comm_lineage_241,True,
K2/comm_lineage_242,True,
K2/comm_lineage_243,True,
