check,pass,detail
Q2-003/charge_duration,True,
Q2-003/charge_complete,True,
Q2-004/charge_duration,True,
Q2-004/charge_complete,True,
Q2-005/charge_duration,True,
Q2-005/charge_complete,True,
Q2-006/charge_duration,True,
Q2-006/charge_complete,True,
Q2-007/charge_duration,True,
Q2-007/charge_complete,True,
Q2-008/charge_duration,True,
Q2-008/charge_complete,True,
Q2-009/charge_duration,True,
Q2-009/charge_complete,True,
Q2-010/charge_duration,True,
Q2-010/charge_complete,True,
Q2-011/charge_duration,True,
Q2-011/charge_complete,True,
Q2-012/charge_duration,True,
Q2-012/charge_complete,True,
Q2-013/charge_duration,True,
Q2-013/charge_complete,True,
Q2-014/charge_duration,True,
Q2-014/charge_complete,True,
Q2-015/charge_duration,True,
Q2-015/charge_complete,True,
Q2-016/charge_duration,True,
Q2-016/charge_complete,True,
Q2-017/charge_duration,True,
Q2-017/charge_complete,True,
Q2-018/charge_duration,True,
Q2-018/charge_complete,True,
Q2-019/charge_duration,True,
Q2-019/charge_complete,True,
