check,pass,detail
docx_pair_04_闭环验证与实质修订说明,True,
report_image_04_闭环验证与实质修订说明../results/figures/closure/candidate_compatibility.png,True,
docx_pair_09_模板提交与一键复现,True,
docx_pair_07_可靠性压力测试与失败情景,True,
report_image_07_可靠性压力测试与失败情景../results/figures/q3/propagation_loss.png,True,
report_image_07_可靠性压力测试与失败情景../results/figures/q3/relay_delay.png,True,
report_image_07_可靠性压力测试与失败情景../results/figures/closure/energy_soc.png,True,
report_image_07_可靠性压力测试与失败情景../results/figures/closure/charge_slack.png,True,
report_image_07_可靠性压力测试与失败情景../results/figures/closure/delay_slack.png,True,
docx_pair_08_第四问严格任务冻结与资源配置,True,
report_image_08_第四问严格任务冻结与资源配置../results/figures/q4/partition_K2.png,True,
report_image_08_第四问严格任务冻结与资源配置../results/figures/q4/partition_K3.png,True,
formula_12,True,
formula_13,True,
formula_14,True,
docx_pair_12_参考来源与参数选择说明,True,
docx_pair_01_数据清洗说明,True,
docx_pair_03_第二问建模与求解,True,
report_image_03_第二问建模与求解../results/figures/q2_01_routes.png,True,
report_image_03_第二问建模与求解../results/figures/q2_02_drone_gantt.png,True,
report_image_03_第二问建模与求解../results/figures/q2_03_battery_gantt.png,True,
report_image_03_第二问建模与求解../results/figures/q2_05_convergence.png,True,
report_image_03_第二问建模与求解../results/figures/q2_06_tradeoff.png,True,
formula_15,True,
formula_16,True,
formula_17,True,
formula_18,True,
formula_19,True,
formula_20,True,
docx_pair_02_第一问建模与求解_修订,True,
report_image_02_第一问建模与求解_修订../results/figures/02_safe_payload.png,True,
formula_21,True,
formula_22,True,
formula_23,True,
formula_24,True,
formula_25,True,
formula_26,True,
formula_27,True,
formula_28,True,
formula_29,True,
docx_pair_11_中文图件索引与正确引用,True,
Chinese_title_F001,True,
figure_F001.png,True,
figure_F001.svg,True,
figure_F001.pdf,True,
figure_source_F001results/q1/route_geometry.csv,True,
figure_source_F001data/cleaned/model_inputs.json,True,
Chinese_title_F002,True,
figure_F002.png,True,
figure_F002.svg,True,
figure_F002.pdf,True,
figure_source_F002data/cleaned/geospatial/dem_clean.tif,True,
figure_source_F002data/cleaned/model_inputs.json,True,
Chinese_title_F003,True,
figure_F003.png,True,
figure_F003.svg,True,
figure_F003.pdf,True,
figure_source_F003results/q1/max_safe_payload_matrix.csv,True,
Chinese_title_F004,True,
figure_F004.png,True,
figure_F004.svg,True,
figure_F004.pdf,True,
figure_source_F004results/q1/service_summary.csv,True,
Chinese_title_F005,True,
figure_F005.png,True,
figure_F005.svg,True,
figure_F005.pdf,True,
figure_source_F005results/q1/batches_NET.csv,True,
Chinese_title_F006,True,
figure_F006.png,True,
figure_F006.svg,True,
figure_F006.pdf,True,
figure_source_F006results/q1/batches_NET.csv,True,
Chinese_title_F007,True,
figure_F007.png,True,
figure_F007.svg,True,
figure_F007.pdf,True,
figure_source_F007results/q1/reserve_sensitivity.csv,True,
Chinese_title_F008,True,
figure_F008.png,True,
figure_F008.svg,True,
figure_F008.pdf,True,
figure_source_F008results/q1/reserve_sensitivity.csv,True,
Chinese_title_F009,True,
figure_F009.png,True,
figure_F009.svg,True,
figure_F009.pdf,True,
figure_source_F009results/q1/capacity_sensitivity.csv,True,
