K,group_id,source_communication_row,transport_trip_id,source_relay_trip_id,local_relay_trip_id,start_s,end_s,mode
3,K3-G1,194,Q3-T-003,,,1005.8512677115322,1020.9329781708125,直连
3,K3-G1,195,Q3-T-003,,,1020.9329781708125,1020.9329781708125,直连
3,K3-G1,196,Q3-T-003,,,1020.9329781708125,1153.2822360011062,直连
3,K3-G1,197,Q3-T-003,,,1153.2822360011062,1153.2822360011062,直连
3,K3-G1,198,Q3-T-003,,,1153.2822360011062,1181.9904651906595,直连
3,K3-G1,199,Q3-T-003,,,1181.9904651906595,1181.9904651906595,直连
3,K3-G1,200,Q3-T-003,,,1181.9904651906595,1225.977956606348,直连
3,K3-G1,201,Q3-T-003,,,1225.977956606348,1225.977956606348,直连
3,K3-G1,202,Q3-T-003,,,1225.977956606348,1231.4196263813892,直连
3,K3-G1,203,Q3-T-003,,,1231.4196263813892,1231.4196263813892,直连
3,K3-G1,204,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1231.4196263813892,1253.3186913419609,中继
3,K3-G1,205,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1253.3186913419609,1253.3186913419609,中继
3,K3-G1,206,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1253.3186913419609,1260.389565753845,中继
3,K3-G1,207,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1260.389565753845,1260.389565753845,中继
3,K3-G1,208,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1260.389565753845,1324.8360543819615,中继
3,K3-G1,209,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1324.8360543819615,1324.8360543819615,中继
3,K3-G1,210,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1324.8360543819615,1330.0908265147914,中继
3,K3-G1,211,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1330.0908265147914,1330.0908265147914,中继
3,K3-G1,212,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1330.0908265147914,1335.093414087038,中继
3,K3-G1,213,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1335.093414087038,1335.093414087038,中继
3,K3-G1,214,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1335.093414087038,1341.583487998918,中继
3,K3-G1,215,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1341.583487998918,1341.583487998918,中继
3,K3-G1,216,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1341.583487998918,1355.3258075802755,中继
3,K3-G1,217,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1355.3258075802755,1355.3258075802755,中继
3,K3-G1,218,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1355.3258075802755,1361.882699073385,中继
3,K3-G1,219,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1361.882699073385,1361.882699073385,中继
3,K3-G1,220,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1361.882699073385,1541.882699073385,中继
3,K3-G1,221,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1541.882699073385,1541.882699073385,中继
3,K3-G1,222,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1541.882699073385,1547.346775317643,中继
3,K3-G1,223,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1547.346775317643,1547.346775317643,中继
3,K3-G1,224,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1547.346775317643,1558.7987083021078,中继
3,K3-G1,225,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1558.7987083021078,1558.7987083021078,中继
3,K3-G1,226,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1558.7987083021078,1564.2071032286744,中继
3,K3-G1,227,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1564.2071032286744,1564.2071032286744,中继
3,K3-G1,228,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1564.2071032286744,1569.894877621562,中继
3,K3-G1,229,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1569.894877621562,1569.894877621562,中继
3,K3-G1,230,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1569.894877621562,1580.5697818950225,中继
3,K3-G1,231,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1580.5697818950225,1580.5697818950225,中继
3,K3-G1,232,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1580.5697818950225,1635.7828879472008,中继
3,K3-G1,233,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1635.7828879472008,1635.7828879472008,中继
3,K3-G1,234,Q3-T-003,Q3-R-002,Q3-R-002@K3-G1,1635.7828879472008,1639.798127904675,中继
3,K3-G1,235,Q3-T-003,,,1639.798127904675,1639.798127904675,直连
3,K3-G1,236,Q3-T-003,,,1639.798127904675,1711.86707161277,直连
3,K3-G1,237,Q3-T-003,,,1711.86707161277,1711.86707161277,直连
3,K3-G1,238,Q3-T-003,,,1711.86707161277,1812.3143365173619,直连
3,K3-G1,239,Q3-T-003,,,1812.3143365173619,1812.3143365173619,直连
3,K3-G1,240,Q3-T-003,,,1812.3143365173619,1820.2361023886092,直连
3,K3-G1,241,Q3-T-003,,,1820.2361023886092,1820.2361023886092,直连
3,K3-G1,242,Q3-T-003,,,1820.2361023886092,1968.6027819252272,直连
3,K3-G1,243,Q3-T-003,,,1968.6027819252272,1968.6027819252272,直连
3,K3-G1,244,Q3-T-003,,,1968.6027819252272,2058.1795533972904,直连
3,K3-G1,245,Q3-T-003,,,2058.1795533972904,2058.1795533972904,直连
3,K3-G1,246,Q3-T-003,,,2058.1795533972904,2069.3541359507435,直连
3,K3-G1,247,Q3-T-003,,,2069.3541359507435,2069.3541359507435,直连
3,K3-G1,248,Q3-T-003,,,2069.3541359507435,2079.0881260891533,直连
3,K3-G1,249,Q3-T-003,,,2079.0881260891533,2079.0881260891533,直连
3,K3-G1,250,Q3-T-003,,,2079.0881260891533,2080.2542088664936,直连
3,K3-G1,251,Q3-T-003,,,2080.2542088664936,2080.2542088664936,直连
3,K3-G1,252,Q3-T-003,,,2080.2542088664936,2091.3671801145865,直连
3,K3-G1,253,Q3-T-003,,,2091.3671801145865,2091.3671801145865,直连
3,K3-G1,254,Q3-T-003,,,2091.3671801145865,2091.77739618304,直连
3,K3-G1,255,Q3-T-003,,,2091.77739618304,2091.77739618304,直连
3,K3-G1,256,Q3-T-004,,,360.0,360.0,直连
3,K3-G1,257,Q3-T-004,,,360.0,360.34184672371094,直连
3,K3-G1,258,Q3-T-004,,,360.34184672371094,360.34184672371094,直连
3,K3-G1,259,Q3-T-004,,,360.34184672371094,369.60265609712184,直连
3,K3-G1,260,Q3-T-004,,,369.60265609712184,369.60265609712184,直连
3,K3-G1,261,Q3-T-004,,,369.60265609712184,370.5743917449054,直连
3,K3-G1,262,Q3-T-004,,,370.5743917449054,370.5743917449054,直连
3,K3-G1,263,Q3-T-004,,,370.5743917449054,378.6860501935803,直连
3,K3-G1,264,Q3-T-004,,,378.6860501935803,378.6860501935803,直连
3,K3-G1,265,Q3-T-004,,,378.6860501935803,387.99820232145794,直连
3,K3-G1,266,Q3-T-004,,,387.99820232145794,387.99820232145794,直连
3,K3-G1,267,Q3-T-004,,,387.99820232145794,408.45220336914065,直连
3,K3-G1,268,Q3-T-004,,,408.45220336914065,408.45220336914065,直连
3,K3-G1,269,Q3-T-004,,,408.45220336914065,542.4228357746762,直连
3,K3-G1,270,Q3-T-004,,,542.4228357746762,542.4228357746762,直连
3,K3-G1,271,Q3-T-004,,,542.4228357746762,595.2985493120008,直连
3,K3-G1,272,Q3-T-004,,,595.2985493120008,595.2985493120008,直连
3,K3-G1,273,Q3-T-004,,,595.2985493120008,607.6266838664694,直连
3,K3-G1,274,Q3-T-004,,,607.6266838664694,607.6266838664694,直连
3,K3-G1,275,Q3-T-004,,,607.6266838664694,662.9504403290156,直连
3,K3-G1,276,Q3-T-004,,,662.9504403290156,662.9504403290156,直连
3,K3-G1,277,Q3-T-004,,,662.9504403290156,688.4143651774021,直连
3,K3-G1,278,Q3-T-004,,,688.4143651774021,688.4143651774021,直连
3,K3-G1,279,Q3-T-004,,,688.4143651774021,694.3842982433409,直连
3,K3-G1,280,Q3-T-004,,,694.3842982433409,694.3842982433409,直连
3,K3-G1,281,Q3-T-004,,,694.3842982433409,697.0820771027705,直连
3,K3-G1,282,Q3-T-004,,,697.0820771027705,697.0820771027705,直连
3,K3-G1,283,Q3-T-004,,,697.0820771027705,698.5730843719844,直连
3,K3-G1,284,Q3-T-004,,,698.5730843719844,698.5730843719844,直连
3,K3-G1,285,Q3-T-004,,,698.5730843719844,744.679230704014,直连
3,K3-G1,286,Q3-T-004,,,744.679230704014,744.679230704014,直连
3,K3-G1,287,Q3-T-004,,,744.679230704014,864.805648987166,直连
3,K3-G1,288,Q3-T-004,,,864.805648987166,864.805648987166,直连
3,K3-G1,289,Q3-T-004,,,864.805648987166,908.5730843719844,直连
