service_id,model_id,payload_kg,energy_fraction_percent
S015,B,24.5,57.21205110582398
S015,B,24.75,57.4469891379348
S015,B,25.0,57.686320607102225
S015,B,25.25,57.930160918205296
S015,B,25.5,58.17862978898369
S015,B,25.75,58.43185144732151
S015,B,26.0,58.68995483965983
S015,B,26.25,58.95307385126849
S015,B,26.5,59.22134753916397
S015,B,26.75,59.4949203785205
S015,B,27.0,59.77394252348757
S015,B,27.25,60.05857008339864
S015,B,27.5,60.34896541543397
S015,B,27.75,60.64529743488555
S015,B,28.0,60.9477419442649
S015,B,28.25,61.25648198259576
S015,B,28.5,61.5717081963445
S015,B,28.75,61.893619233562106
S015,B,29.0,62.22242216294378
S015,B,29.25,62.55833291965794
S015,B,29.5,62.90157677995497
S015,B,29.75,63.25238886674126
S015,B,30.0,63.61101468849579
S015,C,0.0,48.01637415774774
S015,C,0.6666666666666666,48.03985222818475
S015,C,1.3333333333333333,48.07119680694411
S015,C,2.0,48.107693929141995
S015,C,2.6666666666666665,48.14839028904439
S015,C,3.333333333333333,48.19274501972905
S015,C,4.0,48.240401081859424
S015,C,4.666666666666666,48.29110292729483
S015,C,5.333333333333333,48.34465821959714
S015,C,6.0,48.40091723200132
S015,C,6.666666666666666,48.45976062861816
S015,C,7.333333333333333,48.521091694257414
S015,C,8.0,48.58483112589831
S015,C,8.666666666666666,48.65091339422939
S015,C,9.333333333333332,48.71928411624528
S015,C,10.0,48.789898105611016
S015,C,10.666666666666666,48.862717892791224
S015,C,11.333333333333332,48.93771258009101
S015,C,12.0,49.01485694131534
S015,C,12.666666666666666,49.09413070389183
S015,C,13.333333333333332,49.17551796963169
S015,C,14.0,49.25900674257072
S015,C,14.666666666666666,49.34458854073956
S015,C,15.333333333333332,49.432258074597726
S015,C,16.0,49.522012979063405
S015,C,16.666666666666664,49.613853589116296
S015,C,17.333333333333332,49.7077827511948
S015,C,18.0,49.80380566428397
S015,C,18.666666666666664,49.90192974585954
S015,C,19.333333333333332,50.0021645188238
S015,C,20.0,50.1045215163203
S015,C,20.666666666666664,50.209014201902136
S015,C,21.333333333333332,50.315657902991816
S015,C,22.0,50.4244697559396
S015,C,22.666666666666664,50.535468661284035
S015,C,23.333333333333332,50.64867524805773
S015,C,24.0,50.76411184617694
S015,C,24.666666666666664,50.881802466114756
S015,C,25.333333333333332,51.00177278518989
S015,C,26.0,51.12405013991456
S015,C,26.666666666666664,51.248663523937466
S015,C,27.333333333333332,51.3756435911972
S015,C,28.0,51.50502266396757
S015,C,28.666666666666664,51.63683474553472
S015,C,29.333333333333332,51.77111553729553
S015,C,30.0,51.90790246010959
S015,C,30.666666666666664,52.04723467977649
S015,C,31.333333333333332,52.18915313654306
S015,C,32.0,52.33370057857648
S015,C,32.666666666666664,52.48092159936654
S015,C,33.33333333333333,52.630862679045734
S015,C,34.0,52.78357222963979
S015,C,34.666666666666664,52.93910064428253
S015,C,35.33333333333333,53.09750035045108
S015,C,36.0,53.25882586729639
S015,C,36.666666666666664,53.42313386716467
S015,C,37.33333333333333,53.590483241423826
S015,C,38.0,53.76093517072832
S015,C,38.666666666666664,53.93455319987544
S015,C,39.33333333333333,54.11140331742443
S015,C,40.0,54.291554040270874
S015,C,40.666666666666664,54.47507650338789
S015,C,41.33333333333333,54.66204455496791
S015,C,42.0,54.8525348572199
S015,C,42.666666666666664,55.046626993100226
S015,C,43.33333333333333,55.244403579279876
S015,C,44.0,55.44595038567576
S015,C,44.666666666666664,55.651356461901436
S015,C,45.33333333333333,55.86071427102143
S015,C,46.0,56.07411983102395
S015,C,46.666666666666664,56.29167286446025
S015,C,47.33333333333333,56.51347695673383
S015,C,48.0,56.739639723561254
S015,C,48.666666666666664,56.97027298816678
S015,C,49.33333333333333,57.20549296881795
S015,C,50.0,57.44542047735626
S015,C,50.666666666666664,57.690181129429185
S015,C,51.33333333333333,57.939905567185846
S015,C,52.0,58.19472969525879
S015,C,52.666666666666664,58.45479493092076
