phase_id,link_endpoint,occluding_cells,tested_terrain_cells,shadow_intervals,partition_intervals
PH-0085,Q3-R-003,20,103,1,2
PH-0085,Q3-R-004,9,173,1,2
PH-0086,G01,82,114,1,1
PH-0086,Q3-R-001,1,103,1,1
PH-0086,Q3-R-002,0,173,0,1
PH-0086,Q3-R-003,20,103,1,1
PH-0086,Q3-R-004,9,173,1,1
PH-0087,G01,82,114,1,1
PH-0087,Q3-R-001,1,103,1,2
PH-0087,Q3-R-002,0,173,0,1
PH-0087,Q3-R-003,20,103,1,2
PH-0087,Q3-R-004,9,173,1,2
PH-0088,G01,53,747,1,2
PH-0088,Q3-R-001,0,22,0,2
PH-0088,Q3-R-002,0,1842,0,2
PH-0088,Q3-R-003,16,387,2,7
PH-0088,Q3-R-004,0,1517,0,2
PH-0089,G01,155,303,1,1
PH-0089,Q3-R-001,75,243,1,2
PH-0089,Q3-R-002,10,273,1,2
PH-0089,Q3-R-003,0,69,0,1
PH-0089,Q3-R-004,0,211,0,1
PH-0090,G01,155,303,1,1
PH-0090,Q3-R-001,75,243,1,1
PH-0090,Q3-R-002,10,273,1,1
PH-0090,Q3-R-003,0,69,0,1
PH-0090,Q3-R-004,0,211,0,1
PH-0091,G01,155,303,1,1
PH-0091,Q3-R-001,75,243,1,2
PH-0091,Q3-R-002,10,273,1,2
PH-0091,Q3-R-003,0,69,0,1
PH-0091,Q3-R-004,0,211,0,1
PH-0092,G01,41,303,1,3
PH-0092,Q3-R-001,0,26,0,2
PH-0092,Q3-R-002,0,3715,0,2
PH-0092,Q3-R-003,17,424,2,7
PH-0092,Q3-R-004,0,2252,0,2
PH-0093,G01,1,1,1,2
PH-0093,Q3-R-001,24,122,1,2
PH-0093,Q3-R-002,47,170,1,2
PH-0093,Q3-R-003,33,202,1,2
PH-0093,Q3-R-004,14,241,1,2
PH-0094,G01,1,1,1,2
PH-0094,Q3-R-001,24,122,1,2
PH-0094,Q3-R-002,47,170,1,2
PH-0094,Q3-R-003,33,202,1,2
PH-0094,Q3-R-004,14,241,1,2
PH-0095,G01,50,196,1,3
PH-0095,Q3-R-001,0,408,0,2
PH-0095,Q3-R-002,0,0,0,2
PH-0095,Q3-R-003,0,1020,0,2
PH-0095,Q3-R-004,0,0,0,2
PH-0096,G01,185,196,1,1
PH-0096,Q3-R-001,72,72,1,2
PH-0096,Q3-R-002,0,30,0,1
PH-0096,Q3-R-003,84,86,1,2
PH-0096,Q3-R-004,50,142,1,2
PH-0097,G01,185,196,1,1
PH-0097,Q3-R-001,72,72,1,1
PH-0097,Q3-R-002,0,30,0,1
PH-0097,Q3-R-003,84,86,1,1
PH-0097,Q3-R-004,50,142,1,1
PH-0098,G01,185,196,1,1
PH-0098,Q3-R-001,72,72,1,2
PH-0098,Q3-R-002,0,30,0,1
PH-0098,Q3-R-003,84,86,1,2
PH-0098,Q3-R-004,50,142,1,2
PH-0099,G01,50,196,1,3
PH-0099,Q3-R-001,0,408,0,2
PH-0099,Q3-R-002,0,0,0,2
PH-0099,Q3-R-003,0,1020,0,2
PH-0099,Q3-R-004,0,0,0,2
PH-0100,G01,1,1,1,2
PH-0100,Q3-R-001,24,122,1,2
PH-0100,Q3-R-002,47,170,1,2
PH-0100,Q3-R-003,33,202,1,2
PH-0100,Q3-R-004,14,241,1,2
PH-0101,G01,1,1,1,2
PH-0101,Q3-R-001,24,122,1,2
PH-0101,Q3-R-002,47,170,1,2
PH-0101,Q3-R-003,33,202,1,2
PH-0101,Q3-R-004,14,241,1,2
PH-0102,G01,41,303,1,3
PH-0102,Q3-R-001,0,26,0,2
PH-0102,Q3-R-002,0,3715,0,2
PH-0102,Q3-R-003,17,424,2,7
PH-0102,Q3-R-004,0,2252,0,2
PH-0103,G01,155,303,1,1
PH-0103,Q3-R-001,75,243,1,2
PH-0103,Q3-R-002,10,273,1,2
PH-0103,Q3-R-003,0,69,0,1
PH-0103,Q3-R-004,0,211,0,1
PH-0104,G01,155,303,1,1
PH-0104,Q3-R-001,75,243,1,1
PH-0104,Q3-R-002,10,273,1,1
PH-0104,Q3-R-003,0,69,0,1
PH-0104,Q3-R-004,0,211,0,1
PH-0105,G01,155,303,1,1
PH-0105,Q3-R-001,75,243,1,2
PH-0105,Q3-R-002,10,273,1,2
PH-0105,Q3-R-003,0,69,0,1
PH-0105,Q3-R-004,0,211,0,1
PH-0106,G01,41,303,1,3
PH-0106,Q3-R-001,0,26,0,2
PH-0106,Q3-R-002,0,3715,0,2
PH-0106,Q3-R-003,17,424,2,7
PH-0106,Q3-R-004,0,2252,0,2
PH-0107,G01,1,1,1,2
PH-0107,Q3-R-001,24,122,1,2
PH-0107,Q3-R-002,47,170,1,2
PH-0107,Q3-R-003,33,202,1,2
PH-0107,Q3-R-004,14,241,1,2
PH-0108,G01,1,1,1,2
PH-0108,Q3-R-001,24,122,1,2
PH-0108,Q3-R-002,47,170,1,2
PH-0108,Q3-R-003,33,202,1,2
PH-0108,Q3-R-004,14,241,1,2
PH-0109,G01,12,114,1,2
PH-0109,Q3-R-001,0,100,0,1
PH-0109,Q3-R-002,11,3310,1,3
PH-0109,Q3-R-003,0,239,0,1
PH-0109,Q3-R-004,0,1180,0,1
PH-0110,G01,82,114,1,1
PH-0110,Q3-R-001,1,103,1,2
PH-0110,Q3-R-002,0,173,0,1
PH-0110,Q3-R-003,20,103,1,2
PH-0110,Q3-R-004,9,173,1,2
PH-0111,G01,82,114,1,1
PH-0111,Q3-R-001,1,103,1,1
PH-0111,Q3-R-002,0,173,0,1
PH-0111,Q3-R-003,20,103,1,1
PH-0111,Q3-R-004,9,173,1,1
PH-0112,G01,82,114,1,1
PH-0112,Q3-R-001,1,103,1,2
PH-0112,Q3-R-002,0,173,0,1
PH-0112,Q3-R-003,20,103,1,2
PH-0112,Q3-R-004,9,173,1,2
PH-0113,G01,12,114,1,2
PH-0113,Q3-R-001,0,100,0,1
PH-0113,Q3-R-002,11,3310,1,3
PH-0113,Q3-R-003,0,239,0,1
PH-0113,Q3-R-004,0,1180,0,1
PH-0114,G01,1,1,1,2
PH-0114,Q3-R-001,24,122,1,2
PH-0114,Q3-R-002,47,170,1,2
PH-0114,Q3-R-003,33,202,1,2
PH-0114,Q3-R-004,14,241,1,2
PH-0115,G01,1,1,1,2
PH-0115,Q3-R-001,24,122,1,2
PH-0115,Q3-R-002,47,170,1,2
PH-0115,Q3-R-003,33,202,1,2
PH-0115,Q3-R-004,14,241,1,2
PH-0116,G01,28,215,1,3
PH-0116,Q3-R-001,0,0,0,2
PH-0116,Q3-R-002,0,173,0,1
PH-0116,Q3-R-003,0,0,0,1
PH-0116,Q3-R-004,0,358,0,2
PH-0117,G01,53,215,1,1
PH-0117,Q3-R-001,0,0,0,1
PH-0117,Q3-R-002,0,68,0,1
PH-0117,Q3-R-003,0,0,0,1
PH-0117,Q3-R-004,0,37,0,1
PH-0118,G01,53,215,1,1
PH-0118,Q3-R-001,0,0,0,1
PH-0118,Q3-R-002,0,68,0,1
PH-0118,Q3-R-003,0,0,0,1
PH-0118,Q3-R-004,0,37,0,1
PH-0119,G01,53,215,1,1
PH-0119,Q3-R-001,0,0,0,1
PH-0119,Q3-R-002,0,68,0,1
PH-0119,Q3-R-003,0,0,0,1
PH-0119,Q3-R-004,0,37,0,1
PH-0120,G01,28,215,1,3
PH-0120,Q3-R-001,0,0,0,2
PH-0120,Q3-R-002,0,173,0,1
PH-0120,Q3-R-003,0,0,0,1
PH-0120,Q3-R-004,0,358,0,2
PH-0121,G01,1,1,1,2
PH-0121,Q3-R-001,24,122,1,2
PH-0121,Q3-R-002,47,170,1,2
PH-0121,Q3-R-003,33,202,1,2
PH-0121,Q3-R-004,14,241,1,2
PH-0122,G01,1,1,1,2
PH-0122,Q3-R-001,24,122,1,2
PH-0122,Q3-R-002,47,170,1,2
PH-0122,Q3-R-003,33,202,1,2
PH-0122,Q3-R-004,14,241,1,2
PH-0123,G01,16,240,1,3
PH-0123,Q3-R-001,0,1,0,2
PH-0123,Q3-R-002,0,113,0,2
PH-0123,Q3-R-003,0,0,0,2
PH-0123,Q3-R-004,0,718,0,1
PH-0124,G01,171,240,1,1
PH-0124,Q3-R-001,50,210,1,2
PH-0124,Q3-R-002,13,279,1,2
PH-0124,Q3-R-003,9,51,1,2
PH-0124,Q3-R-004,18,211,1,2
PH-0125,G01,171,240,1,1
PH-0125,Q3-R-001,50,210,1,1
PH-0125,Q3-R-002,13,279,1,1
PH-0125,Q3-R-003,9,51,1,1
PH-0125,Q3-R-004,18,211,1,1
PH-0126,G01,171,240,1,1
PH-0126,Q3-R-001,50,210,1,2
PH-0126,Q3-R-002,13,279,1,2
PH-0126,Q3-R-003,9,51,1,2
PH-0126,Q3-R-004,18,211,1,2
PH-0127,G01,16,240,1,3
PH-0127,Q3-R-001,0,1,0,2
PH-0127,Q3-R-002,0,113,0,2
PH-0127,Q3-R-003,0,0,0,2
PH-0127,Q3-R-004,0,718,0,1
PH-0128,G01,1,1,1,2
PH-0128,Q3-R-001,24,122,1,2
PH-0128,Q3-R-002,47,170,1,2
PH-0128,Q3-R-003,33,202,1,2
PH-0128,Q3-R-004,14,241,1,2
PH-0129,G01,1,1,1,2
PH-0129,Q3-R-001,24,122,1,2
PH-0129,Q3-R-002,47,170,1,2
PH-0129,Q3-R-003,33,202,1,2
PH-0129,Q3-R-004,14,241,1,2
PH-0130,G01,12,114,1,2
PH-0130,Q3-R-001,0,100,0,1
PH-0130,Q3-R-002,11,3310,1,3
PH-0130,Q3-R-003,0,239,0,1
PH-0130,Q3-R-004,0,1180,0,1
PH-0131,G01,82,114,1,1
PH-0131,Q3-R-001,1,103,1,2
PH-0131,Q3-R-002,0,173,0,1
PH-0131,Q3-R-003,20,103,1,2
PH-0131,Q3-R-004,9,173,1,2
PH-0132,G01,82,114,1,1
