site_id,row,col,lon,lat,alt,agl,ground,route_H,gateway_distance,backhaul_margin,covered_search_points,travel_score_s
GRID-910-778,910,778,109.2488888888889,22.971944444444443,446.9244384765625,300.0,146.9244384765625,559.7134399414062,4451.6719779413925,2.9559191461365373,8,845.5641036913393
GRID-910-782,910,782,109.25,22.971944444444443,455.15684509277344,300.0,155.15684509277344,560.7272338867188,4500.1917437967995,2.861135621650817,10,852.6247856068258
GRID-910-786,910,786,109.25111111111111,22.971944444444443,487.68006896972656,300.0,187.68006896972656,557.4225769042969,4551.046534985097,2.759607066647888,28,857.4777078588528
GRID-910-790,910,790,109.25222222222223,22.971944444444443,526.72021484375,300.0,226.72021484375,551.8344116210938,4604.15897826496,2.653684654842209,45,861.299603880966
GRID-910-794,910,794,109.25333333333334,22.971944444444443,481.66571044921875,300.0,181.66571044921875,565.8513793945312,4659.451870287576,2.5570943764491574,28,876.8485540184867
GRID-910-798,910,798,109.25444444444445,22.971944444444443,539.6121063232422,300.0,239.6121063232422,563.6441650390625,4716.8485312484445,2.4431485439967275,47,883.2139004392457
GRID-910-802,910,802,109.25555555555556,22.971944444444443,510.705322265625,300.0,210.705322265625,554.7582702636719,4776.273118525089,2.339290904241466,38,885.9537401238204
GRID-910-806,910,806,109.25666666666667,22.971944444444443,507.60072326660156,300.0,207.60072326660156,561.4052734375,4837.650900954528,2.229448079670263,38,898.014862965812
GRID-910-810,910,810,109.25777777777779,22.971944444444443,531.10693359375,300.0,231.10693359375,565.357177734375,4900.90849506457,2.1140997532945534,47,908.7544863536614
GRID-910-814,910,814,109.25888888888889,22.971944444444443,564.2349853515625,273.9286193847656,290.3063659667969,564.2349853515625,4965.974065092684,1.9956143671906545,47,916.7752834674359
GRID-910-818,910,818,109.26,22.971944444444443,560.50927734375,282.4335021972656,278.0757751464844,560.50927734375,5032.7774890212095,1.8808959846640363,45,923.5090769866821
GRID-910-822,910,822,109.26111111111112,22.971944444444443,525.1392059326172,300.0,225.1392059326172,550.2654724121094,5101.250493109529,1.7689494009516125,42,926.6632579883343
GRID-910-826,910,826,109.26222222222222,22.971944444444443,547.8034973144531,293.26976013183594,254.5337371826172,547.8034973144531,5171.326757560758,1.648253433653366,43,934.5706077748654
GRID-910-830,910,830,109.26333333333334,22.971944444444443,538.6673583984375,239.24929809570312,299.4180603027344,538.6673583984375,5242.941996056676,1.530648452237557,42,938.789891873312
GRID-910-834,910,834,109.26444444444445,22.971944444444443,544.6614685058594,224.02993774414062,320.63153076171875,544.6614685058594,5316.034011842317,1.4103478446771476,41,952.0320582073937
GRID-910-838,910,838,109.26555555555557,22.971944444444443,551.3836669921875,261.2632141113281,290.1204528808594,551.3836669921875,5390.542733024676,1.289333014236277,41,965.8878368153995
GRID-910-842,910,842,109.26666666666667,22.971944444444443,538.3357238769531,277.88909912109375,260.4466247558594,538.3357238769531,5466.410229615503,1.1701232087416145,39,968.3922028769564
GRID-910-846,910,846,109.26777777777778,22.971944444444443,546.1428833007812,270.2603759765625,275.88250732421875,546.1428833007812,5543.580714727079,1.0481219249647893,38,983.2357772223995
GRID-910-850,910,850,109.2688888888889,22.971944444444443,514.2541198730469,245.98495483398438,268.2691650390625,514.2541198730469,5622.000532127123,0.9300846511275722,35,975.0899742095603
GRID-910-854,910,854,109.27000000000001,22.971944444444443,519.2008666992188,249.31753540039062,269.8833312988281,519.2008666992188,5701.618132254618,0.8079809609538984,34,988.5912565418266
GRID-910-858,910,858,109.27111111111111,22.971944444444443,520.2463989257812,214.36553955078125,305.880859375,520.2463989257812,5782.384038530252,0.6862301908972626,33,999.9699378440727
GRID-910-862,910,862,109.27222222222223,22.971944444444443,535.5921020507812,216.02017211914062,319.5719299316406,535.5921020507812,5864.250805705209,0.5631643322935389,33,1019.8371669569837
GRID-910-866,910,866,109.27333333333334,22.971944444444443,543.8921813964844,189.08505249023438,354.80712890625,543.8921813964844,5947.172971712414,0.4409475174190334,32,1035.7351687096045
GRID-910-870,910,870,109.27444444444446,22.971944444444443,549.1582336425781,236.79043579101562,312.3677978515625,549.1582336425781,6031.10700441973,0.319264500416395,32,1049.9982368808014
GRID-914-630,914,630,109.20777777777778,22.97083333333333,397.72479248046875,180.56683349609375,217.157958984375,397.72479248046875,4796.4422251957585,2.315882755935675,1,797.0400923063745
GRID-914-754,914,754,109.24222222222222,22.97083333333333,439.13311767578125,300.0,139.13311767578125,522.83203125,4332.216745184988,3.1920301806518125,3,808.1225842538317
GRID-914-782,914,782,109.25,22.97083333333333,453.52967834472656,300.0,153.52967834472656,560.4447021484375,4611.228918104832,2.6505806518619437,14,867.264932000566
GRID-914-786,914,786,109.25111111111111,22.97083333333333,456.4612731933594,300.0,156.46127319335938,559.7691040039062,4660.872743599164,2.5576349544197683,20,873.4900098155005
GRID-914-790,914,790,109.25222222222223,22.97083333333333,475.6554412841797,300.0,175.6554412841797,554.6327209472656,4712.7480350670485,2.4595533287071447,28,877.4104918948447
GRID-914-794,914,794,109.25333333333334,22.97083333333333,467.6435241699219,300.0,167.64352416992188,558.576171875,4766.781940171475,2.3620131109551323,28,886.9153589499466
GRID-914-798,914,798,109.25444444444445,22.97083333333333,498.22265625,300.0,198.22265625,565.1632080078125,4822.901906668843,2.2570127776341167,29,898.2404588937363
GRID-914-802,914,802,109.25555555555556,22.97083333333333,534.8403930664062,300.0,234.84039306640625,563.6143188476562,4881.035981285975,2.148606958819329,46,905.0881501659295
GRID-914-806,914,806,109.25666666666667,22.97083333333333,485.8399200439453,300.0,185.8399200439453,556.9803466796875,4941.113074287609,2.04931736071741,37,909.2286121348322
GRID-914-810,914,810,109.25777777777779,22.97083333333333,498.61473083496094,300.0,198.61473083496094,562.0907592773438,5003.063190503727,1.940092964909553,41,920.4697016456141
GRID-914-814,914,814,109.25888888888889,22.97083333333333,565.357177734375,293.2850646972656,272.0721130371094,565.357177734375,5066.8176280971975,1.8220318858171254,43,930.875704091345
GRID-914-818,914,818,109.26,22.97083333333333,536.3140869140625,300.0,236.3140869140625,564.2349853515625,5132.30914672402,1.71508297860818,42,938.9532943516142
GRID-914-822,914,822,109.26111111111112,22.97083333333333,470.431640625,300.0,170.431640625,560.50927734375,5199.472107010652,1.6103043345524242,39,945.7350260519411
GRID-914-826,914,826,109.26222222222222,22.97083333333333,541.2245788574219,300.0,241.22457885742188,550.6286010742188,5268.24258348403,1.488728587195439,40,949.1406950911648
GRID-914-830,914,830,109.26333333333334,22.97083333333333,547.8034973144531,272.4082946777344,275.39520263671875,547.8034973144531,5338.558453188383,1.3734232363728864,39,956.8681671918821
GRID-914-834,914,834,109.26444444444445,22.97083333333333,533.8014221191406,281.49346923828125,252.30795288085938,533.8014221191406,5410.359462229655,1.259665069712625,37,958.273757866786
GRID-914-838,914,838,109.26555555555557,22.97083333333333,544.6614685058594,251.09637451171875,293.5650939941406,544.6614685058594,5483.587272550133,1.142273276080772,38,974.3724929684356
GRID-914-842,914,842,109.26666666666667,22.97083333333333,551.3836669921875,268.3247985839844,283.0588684082031,551.3836669921875,5558.185491098555,1.0247775371486085,36,988.2402045585834
