from_id,to_id,distance_m,terrain_max_m,cruise_altitude_m,origin_work_altitude_m,destination_work_altitude_m,climb_m,descent_m,crossed_cells
S004,S003,8231.978295251793,674.2682495117188,724.2682495117188,228.3,338.5,495.96824951171874,385.76824951171875,385
S003,S005,6340.247461405595,533.8880615234375,583.8880615234375,338.5,195.0,245.3880615234375,388.8880615234375,272
S005,S003,6340.247461405595,533.8880615234375,583.8880615234375,195.0,338.5,388.8880615234375,245.3880615234375,272
S003,S006,4800.9447592451315,612.3626708984375,662.3626708984375,338.5,314.8,323.8626708984375,347.5626708984375,229
S006,S003,4800.9447592451315,612.3626708984375,662.3626708984375,314.8,338.5,347.5626708984375,323.8626708984375,229
S003,S007,2734.2616228002603,360.6993408203125,410.6993408203125,338.5,348.5,72.1993408203125,62.1993408203125,126
S007,S003,2734.2616228002603,360.6993408203125,410.6993408203125,348.5,338.5,62.1993408203125,72.1993408203125,126
S003,S008,6254.068544603391,746.0787353515625,796.0787353515625,338.5,270.9,457.5787353515625,525.1787353515625,300
S008,S003,6254.068544603391,746.0787353515625,796.0787353515625,270.9,338.5,525.1787353515625,457.5787353515625,300
S003,S009,8897.537411915544,544.588134765625,594.588134765625,338.5,230.0,256.088134765625,364.588134765625,362
S009,S003,8897.537411915544,544.588134765625,594.588134765625,230.0,338.5,364.588134765625,256.088134765625,362
S003,S010,11224.341531883947,466.96417236328125,516.9641723632812,338.5,351.6,178.46417236328125,165.36417236328123,462
S010,S003,11224.341531883947,466.96417236328125,516.9641723632812,351.6,338.5,165.36417236328123,178.46417236328125,462
S003,S011,5356.618098230241,485.42230224609375,535.4223022460938,338.5,212.1,196.92230224609375,323.3223022460937,216
S011,S003,5356.618098230241,485.42230224609375,535.4223022460938,212.1,338.5,323.3223022460937,196.92230224609375,216
S003,S012,11816.962386105222,544.5889282226562,594.5889282226562,338.5,279.8,256.08892822265625,314.78892822265624,463
S012,S003,11816.962386105222,544.5889282226562,594.5889282226562,279.8,338.5,314.78892822265624,256.08892822265625,463
S003,S013,10557.567201469274,505.94439697265625,555.9443969726562,338.5,351.7,217.44439697265625,204.24439697265626,403
S013,S003,10557.567201469274,505.94439697265625,555.9443969726562,351.7,338.5,204.24439697265626,217.44439697265625,403
