from_id,to_id,row,col,fraction,dem_m
S012,S013,620,898,0.07807694757458984,255.07769775390625
S012,S013,620,897,0.08954940236116433,253.44866943359375
S012,S013,621,897,0.0899600821743789,243.269287109375
S012,S013,622,897,0.10184321677416795,254.9419708251953
S012,S013,622,896,0.1131864433062088,260.84368896484375
S012,S013,623,896,0.113726351373957,271.30584716796875
S012,S013,624,896,0.12560948597374605,281.4628601074219
S012,S013,624,895,0.13682348425125326,282.3063049316406
S012,S013,625,895,0.13749262057353512,290.7780456542969
S012,S013,626,895,0.14937575517332416,289.6920471191406
S012,S013,626,894,0.16046052519629775,285.1070861816406
S012,S013,627,894,0.1612588897731132,286.03643798828125
S012,S013,628,894,0.17314202437290227,296.9069519042969
S012,S013,628,893,0.1840975661413422,285.333251953125
S012,S013,629,893,0.1850251589726913,297.18609619140625
S012,S013,630,893,0.19690829357248038,298.6991882324219
S012,S013,630,892,0.20773460708638666,278.21258544921875
S012,S013,631,892,0.20879142817226942,285.7162780761719
S012,S013,632,892,0.22067456277205846,300.71234130859375
S012,S013,632,891,0.23137164803143115,288.1533203125
S012,S013,633,891,0.23255769737184753,287.4697570800781
S012,S013,634,891,0.24444083197163657,293.9080505371094
S012,S013,634,890,0.2550086889764756,300.1265869140625
S012,S013,635,890,0.25632396657142564,319.13751220703125
S012,S013,636,890,0.2682071011712147,320.8575744628906
S012,S013,636,889,0.2786457299215201,317.7547912597656
S012,S013,637,889,0.2800902357710037,297.2293701171875
S012,S013,638,889,0.2919733703707928,279.7899169921875
S012,S013,638,888,0.3022827708665645,283.127685546875
S012,S013,639,888,0.30385650497058186,267.3347473144531
S012,S013,640,888,0.3157396395703709,274.61126708984375
S012,S013,640,887,0.325919811811609,283.69354248046875
S012,S013,641,887,0.32762277417015995,300.50982666015625
S012,S013,642,887,0.339505908769949,307.3905944824219
S012,S013,642,886,0.3495568527566535,311.6554260253906
S012,S013,643,886,0.35138904336973803,300.33563232421875
S012,S013,644,886,0.3632721779695271,285.58184814453125
S012,S013,644,885,0.373193893701698,288.833251953125
S012,S013,645,885,0.37515531256931617,286.6816101074219
